salesperson,transaction_count,total_sales,average_sale_price,total_commission,average_commission_rate,first_sale_date,last_sale_date
Anthony Brown,6,215540.0,35923.33,24592.32,0.1083,2022-07-02,2023-02-19
Jonathan Anderson,6,215017.0,35836.17,19636.22,0.0928,2022-05-10,2023-02-17
Juan Smith,6,214988.0,35831.33,21763.19,0.0954,2022-05-09,2023-04-27
John Brown,8,214551.0,26818.88,22973.59,0.1058,2022-08-02,2023-04-22
Robert Anderson,7,214313.0,30616.14,21247.22,0.1027,2022-05-28,2023-04-09
Christopher Hernandez,7,214170.0,30595.71,22613.54,0.0964,2022-07-06,2023-03-20
Stephanie Smith,7,213956.0,30565.14,17671.07,0.0879,2022-06-29,2023-04-01
Daniel Johnson,6,213070.0,35511.67,21794.63,0.1006,2022-05-13,2023-04-12
Brian White,7,213028.0,30432.57,26877.15,0.1266,2022-05-26,2023-04-27
Jennifer Davis,8,211597.0,26449.63,19389.14,0.0896,2022-10-27,2023-03-31
Michael Anderson,9,211160.0,23462.22,19792.54,0.099,2022-05-16,2023-04-30
Michael West,6,210560.0,35093.33,21278.64,0.1017,2022-08-02,2023-04-15
Megan Brown,7,209772.0,29967.43,19693.35,0.0966,2022-05-01,2023-04-11
Timothy Miller,6,209622.0,34937.0,22980.71,0.1089,2022-05-03,2023-03-31
Joshua Johnson,6,209525.0,34920.83,19495.89,0.0971,2022-06-24,2023-01-15
Lauren Jones,6,209466.0,34911.0,20629.56,0.1006,2022-05-05,2023-03-06
David Green,6,209327.0,34887.83,18322.56,0.0852,2022-05-30,2022-12-29
Ashley Smith,8,208418.0,26052.25,22731.63,0.1082,2022-05-02,2023-03-02
Kimberly Taylor,6,207823.0,34637.17,16234.46,0.0752,2022-07-21,2023-02-11
Christopher Gonzalez,6,207741.0,34623.5,21250.08,0.1019,2022-06-08,2023-04-02
Christine Johnson,7,206582.0,29511.71,18899.3,0.0906,2022-05-25,2023-04-29
John Anderson,7,205709.0,29387.0,24725.52,0.1164,2022-05-31,2023-01-23
Christopher Lee,7,205476.0,29353.71,21334.75,0.1027,2022-06-14,2023-04-08
Robert Garcia,7,205412.0,29344.57,19420.67,0.0962,2022-08-15,2023-04-12
Melissa Davis,6,205353.0,34225.5,19425.87,0.0975,2022-09-05,2023-03-31
Jessica Johnson,6,205057.0,34176.17,20882.09,0.1051,2022-05-30,2023-03-01
Nicole Johnson,8,203814.0,25476.75,20135.84,0.1009,2022-05-20,2023-04-05
Sandra Jones,5,203768.0,40753.6,17298.14,0.0831,2022-07-10,2023-03-21
David Lewis,7,203322.0,29046.0,17006.28,0.0841,2022-08-11,2023-04-16
Christopher Brown,6,203217.0,33869.5,16966.72,0.0824,2022-05-31,2022-12-25
Robert Ramirez,7,203090.0,29012.86,20089.32,0.0948,2022-08-27,2023-04-15
Rachel Martinez,6,201964.0,33660.67,24406.27,0.1206,2022-08-06,2023-05-01
Kevin Smith,7,201963.0,28851.86,20670.05,0.1003,2022-05-28,2022-08-22
Christopher Williams,6,201788.0,33631.33,22792.05,0.118,2022-07-08,2023-05-01
Joseph White,6,201609.0,33601.5,19062.8,0.0904,2022-06-05,2023-04-10
Laura Johnson,6,201509.0,33584.83,19538.52,0.0956,2022-09-14,2023-03-29
Rebecca Smith,5,201266.0,40253.2,18001.75,0.0889,2022-05-20,2022-12-13
Christina Williams,5,200353.0,40070.6,19570.79,0.0994,2022-10-07,2023-04-05
Joseph Jones,6,199428.0,33238.0,21449.62,0.0997,2022-05-18,2023-03-04
Nicole Smith,7,198775.0,28396.43,14078.11,0.0727,2022-09-12,2023-04-15
Jordan Brown,6,196279.0,32713.17,18188.13,0.1014,2022-08-29,2023-04-11
Brandon Smith,7,195230.0,27890.0,17386.6,0.0902,2022-06-07,2023-02-04
David Wilson,6,194965.0,32494.17,23383.91,0.1153,2022-08-23,2023-03-19
Anthony Jones,6,194930.0,32488.33,19099.32,0.1011,2022-09-13,2023-04-02
Thomas Rodriguez,5,193850.0,38770.0,17687.08,0.0885,2022-06-28,2023-04-07
Kimberly Johnson,7,193540.0,27648.57,22442.54,0.1227,2022-05-20,2023-03-18
David White,6,193275.0,32212.5,14447.59,0.072,2022-06-23,2023-01-28
David Lopez,5,193161.0,38632.2,20195.94,0.1069,2022-05-13,2023-04-09
Charles Smith,7,192509.0,27501.29,21563.76,0.103,2022-07-08,2023-04-23
Jennifer Cox,4,192428.0,48107.0,19494.29,0.1018,2022-09-24,2023-01-16
James Walker,6,192115.0,32019.17,18479.07,0.1016,2022-07-03,2023-01-09
Robert White,5,191658.0,38331.6,16186.58,0.0841,2022-07-07,2023-04-10
Michael Lee,6,191549.0,31924.83,17093.77,0.0898,2022-09-29,2023-03-02
Jennifer Jackson,6,190801.0,31800.17,17682.93,0.0913,2022-07-05,2023-02-25
Jennifer Martinez,5,190518.0,38103.6,19834.18,0.0965,2022-06-16,2023-02-11
Michael Wright,5,190007.0,38001.4,16428.1,0.0867,2022-07-17,2023-03-03
Dana Smith,7,189982.0,27140.29,21554.32,0.1139,2022-05-12,2023-04-25
Brian Williams,6,189645.0,31607.5,18023.22,0.1037,2022-06-16,2023-01-15
Christopher Rivera,5,189353.0,37870.6,20383.35,0.1038,2022-08-04,2023-03-02
Joshua Smith,6,189029.0,31504.83,17011.46,0.0891,2022-07-23,2023-04-01
Thomas Miller,5,188738.0,37747.6,15613.64,0.0828,2022-06-21,2023-04-01
James Johnson,5,188473.0,37694.6,19204.28,0.0995,2022-06-06,2023-03-24
Joseph Williams,5,188272.0,37654.4,17909.48,0.1,2022-10-17,2023-03-04
Robert Thompson,6,187546.0,31257.67,23567.2,0.1236,2022-05-26,2023-04-09
Ashley Brown,6,187510.0,31251.67,18029.75,0.0977,2022-05-05,2023-05-01
Brian Smith,8,187038.0,23379.75,20754.3,0.1131,2022-05-03,2022-11-26
Christopher Taylor,5,186977.0,37395.4,17435.04,0.0954,2022-05-28,2023-03-22
Richard Williams,7,186973.0,26710.43,19635.77,0.1053,2022-05-23,2023-04-29
Michael Diaz,6,186875.0,31145.83,20485.18,0.1124,2022-05-12,2023-04-29
William Ramirez,5,186727.0,37345.4,19798.53,0.107,2022-11-05,2023-03-25
Mary Smith,5,186249.0,37249.8,17035.77,0.0924,2022-05-25,2023-04-24
Steven Lewis,5,185386.0,37077.2,20300.52,0.1057,2022-08-25,2023-03-04
Michael Thompson,8,184686.0,23085.75,20942.64,0.1095,2022-05-02,2023-03-17
Mark Smith,6,184578.0,30763.0,16526.38,0.0934,2022-05-03,2023-03-24
Pamela Smith,6,184110.0,30685.0,19911.02,0.1076,2022-07-05,2023-03-27
Kimberly Smith,6,183686.0,30614.33,15072.91,0.0864,2022-05-30,2023-04-17
Julie Smith,6,183413.0,30568.83,18097.76,0.0986,2022-05-13,2023-02-24
Karen Johnson,7,183290.0,26184.29,18303.52,0.0994,2022-06-06,2023-03-08
Amanda Moore,7,182747.0,26106.71,20354.78,0.1079,2022-05-21,2023-04-25
Robin Brown,7,182628.0,26089.71,19872.87,0.1061,2022-05-02,2023-03-01
Jason Johnson,5,182284.0,36456.8,18964.2,0.1066,2022-07-23,2023-02-09
Matthew Rodriguez,5,182043.0,36408.6,19478.55,0.1071,2022-07-15,2023-04-16
Tyler Harris,5,181987.0,36397.4,16007.47,0.0895,2022-07-25,2023-04-30
Michael Thomas,5,181481.0,36296.2,15977.29,0.0881,2022-10-23,2023-03-26
Michael Lopez,6,179614.0,29935.67,15371.57,0.0943,2022-05-29,2023-02-01
Joseph Green,5,179115.0,35823.0,17813.18,0.1,2022-06-16,2023-01-06
William Jackson,5,178763.0,35752.6,18686.46,0.1065,2022-05-11,2023-03-23
Justin Williams,6,178279.0,29713.17,19167.28,0.1055,2022-07-21,2023-03-20
Christopher Jackson,5,178263.0,35652.6,24905.89,0.1396,2022-06-10,2023-02-10
Amanda Wilson,4,178116.0,44529.0,17309.86,0.0944,2022-06-04,2023-04-21
Scott Garcia,5,177529.0,35505.8,14732.28,0.0903,2022-05-11,2022-12-26
Kathleen Brown,5,177476.0,35495.2,15623.6,0.093,2022-08-16,2023-04-05
Steven Young,5,177471.0,35494.2,17036.51,0.0959,2022-05-25,2022-10-06
Kenneth Jones,4,177369.0,44342.25,13406.81,0.0748,2022-07-01,2023-04-13
John Martinez,6,177303.0,29550.5,21174.31,0.1103,2022-05-19,2023-03-24
Robert Wood,5,177238.0,35447.6,19267.46,0.1103,2022-07-01,2023-04-16
Amber Johnson,6,177234.0,29539.0,19950.26,0.1098,2022-05-24,2023-04-09
Mark Williams,6,176926.0,29487.67,18631.42,0.1115,2022-06-15,2023-05-01
Nancy Young,5,176572.0,35314.4,17553.23,0.1001,2022-05-02,2023-03-28
Nicole Davis,6,176518.0,29419.67,19545.1,0.1119,2022-06-06,2023-05-01
Laura Williams,6,176511.0,29418.5,18066.93,0.1038,2022-09-23,2023-02-21
Richard Robinson,6,176236.0,29372.67,18915.27,0.1091,2022-05-04,2023-04-26
Kelly Rodriguez,6,175788.0,29298.0,22277.94,0.1258,2022-06-12,2023-04-08
Jessica Scott,6,175743.0,29290.5,14506.57,0.0838,2022-05-20,2023-04-27
Michael Gonzalez,5,175685.0,35137.0,19197.52,0.1121,2022-05-23,2023-03-06
Daniel Brown,7,175406.0,25058.0,16329.83,0.0887,2022-05-22,2023-03-01
Charles Garcia,5,175366.0,35073.2,15127.72,0.093,2022-07-02,2023-04-28
James Morales,4,174646.0,43661.5,19132.1,0.1084,2022-07-07,2022-11-10
Jennifer Long,5,174528.0,34905.6,17630.4,0.1066,2022-06-12,2023-02-01
Matthew Hernandez,5,174402.0,34880.4,19886.87,0.108,2022-05-08,2022-12-19
Lisa Brown,6,173876.0,28979.33,17543.57,0.1033,2022-05-25,2023-04-24
Michael White,6,173447.0,28907.83,18490.88,0.1075,2022-09-05,2023-04-22
Jennifer Gonzalez,6,173333.0,28888.83,16853.05,0.0933,2022-05-17,2022-09-28
Richard Anderson,5,173115.0,34623.0,16865.83,0.0961,2022-07-20,2023-02-14
John Wilson,6,172938.0,28823.0,12010.44,0.0679,2022-05-16,2023-02-18
Benjamin Smith,6,172613.0,28768.83,12947.56,0.0795,2022-06-25,2023-02-24
Christina Miller,4,172127.0,43031.75,17203.86,0.1002,2022-06-02,2023-04-01
Matthew Jackson,6,172113.0,28685.5,16059.4,0.0867,2022-05-01,2023-02-20
Anthony Simpson,4,171779.0,42944.75,19178.18,0.1137,2022-06-02,2023-04-14
Scott Johnson,4,171714.0,42928.5,13269.45,0.0781,2022-11-22,2023-04-12
Kelly Smith,6,171701.0,28616.83,14695.92,0.0893,2022-06-13,2023-04-15
Eric Anderson,5,170981.0,34196.2,12341.98,0.0738,2022-10-18,2023-04-18
Joshua Williams,6,170725.0,28454.17,17455.59,0.1036,2022-05-13,2023-03-30
Michael Sanchez,6,169712.0,28285.33,15555.35,0.095,2022-07-08,2023-03-15
Timothy Williams,5,169659.0,33931.8,19284.09,0.1121,2022-05-20,2023-02-14
Nicholas Smith,5,168860.0,33772.0,15823.24,0.0952,2022-07-31,2023-03-16
Joshua White,4,168814.0,42203.5,13607.01,0.0809,2022-07-08,2023-01-07
Nicole Lee,4,168539.0,42134.75,13025.23,0.0778,2022-05-03,2022-12-10
David Brooks,5,168467.0,33693.4,18405.53,0.1096,2023-01-07,2023-03-12
Robert Baker,5,168327.0,33665.4,17313.51,0.1022,2022-05-25,2022-10-19
Charles Williams,6,168272.0,28045.33,17808.25,0.1068,2022-12-24,2023-04-09
James Harris,6,167957.0,27992.83,17308.61,0.0956,2022-07-01,2023-01-13
Tyler Davis,6,167668.0,27944.67,15831.77,0.0979,2022-05-29,2022-12-18
David Phillips,6,167421.0,27903.5,18458.9,0.1078,2022-05-25,2023-03-01
James Parker,5,167256.0,33451.2,16705.08,0.0998,2022-08-30,2023-04-07
Charles Taylor,5,167018.0,33403.6,18016.96,0.1109,2022-06-13,2023-04-28
Michael Hall,7,166632.0,23804.57,15216.92,0.0869,2022-05-15,2023-03-27
John Thomas,5,166384.0,33276.8,18994.44,0.1094,2022-05-01,2023-03-07
Christopher Baker,6,166221.0,27703.5,17442.36,0.1033,2022-07-01,2023-02-24
William Wilson,6,166172.0,27695.33,16357.52,0.1039,2022-06-05,2022-12-24
Kevin Jones,5,166127.0,33225.4,16753.91,0.0997,2022-06-17,2023-03-02
William Taylor,4,165904.0,41476.0,17267.69,0.1034,2022-06-11,2023-01-19
Thomas Moore,6,165651.0,27608.5,17632.29,0.1022,2022-05-14,2022-10-14
Jeffrey Garcia,6,165152.0,27525.33,17386.03,0.1029,2022-07-02,2023-04-29
Laura Smith,5,165008.0,33001.6,14793.21,0.0873,2022-05-01,2023-03-31
James Adams,5,164798.0,32959.6,17068.93,0.1013,2022-07-05,2023-04-28
Melissa Lee,5,164795.0,32959.0,15310.56,0.0923,2022-05-01,2022-11-10
James Nelson,5,164649.0,32929.8,16006.98,0.0975,2022-05-02,2023-04-04
Daniel Lewis,5,164558.0,32911.6,14755.31,0.0942,2022-08-12,2023-04-06
David Moore,5,164307.0,32861.4,21535.84,0.1241,2022-05-15,2022-12-31
Nathan Smith,5,164286.0,32857.2,13084.38,0.0891,2022-05-24,2023-04-04
Ashley Johnson,4,164007.0,41001.75,12245.11,0.0762,2022-06-16,2023-04-05
Adam Jones,5,163816.0,32763.2,17602.84,0.1057,2022-08-02,2023-04-27
Andrew Jones,6,163392.0,27232.0,14882.73,0.0821,2022-09-17,2023-03-20
Jordan Williams,4,163021.0,40755.25,15307.75,0.0992,2022-06-06,2023-03-07
Susan Williams,6,162719.0,27119.83,17436.64,0.1124,2022-07-18,2023-04-02
Amanda Clark,5,162705.0,32541.0,16311.51,0.1012,2022-07-21,2023-02-28
Jennifer Thomas,5,162555.0,32511.0,17643.77,0.1031,2022-06-23,2023-04-21
Richard Jones,7,161910.0,23130.0,17846.46,0.1137,2022-05-08,2023-04-14
Deborah Smith,4,161582.0,40395.5,16837.86,0.1056,2022-08-23,2023-04-28
Kimberly Carlson,4,161357.0,40339.25,18175.03,0.1116,2022-08-29,2023-03-08
Kimberly Reyes,4,161188.0,40297.0,19388.61,0.122,2022-09-01,2023-05-01
Michelle Williams,6,161144.0,26857.33,14338.06,0.0894,2022-06-02,2023-03-27
Mark Jones,5,160372.0,32074.4,16679.47,0.1038,2022-07-26,2023-04-25
Jessica Martinez,6,160364.0,26727.33,14052.73,0.0906,2022-08-27,2023-04-23
Christopher Jones,6,160358.0,26726.33,17306.51,0.1063,2022-07-07,2023-04-19
Crystal Brown,5,160231.0,32046.2,14462.9,0.0981,2022-05-06,2023-03-25
David Young,5,159900.0,31980.0,13162.93,0.083,2022-05-03,2023-02-24
James Hernandez,5,159687.0,31937.4,11977.38,0.0818,2022-06-09,2023-04-14
Matthew Green,5,159497.0,31899.4,12253.89,0.0877,2022-05-03,2023-02-26
Eric Smith,5,159442.0,31888.4,19301.06,0.1223,2022-09-04,2023-03-24
Richard Peters,4,159168.0,39792.0,15185.19,0.0962,2022-09-22,2023-01-09
Richard Howard,4,159115.0,39778.75,13176.49,0.0821,2022-05-29,2022-11-24
Eric Miller,4,159047.0,39761.75,17023.23,0.103,2022-05-09,2023-02-04
Richard Davis,5,158988.0,31797.6,15567.27,0.1004,2023-03-22,2023-04-28
Melissa Walker,4,158622.0,39655.5,17278.55,0.1119,2022-06-05,2022-11-14
Jessica Lewis,5,158507.0,31701.4,18696.71,0.1196,2022-05-05,2023-04-16
Megan Lopez,4,158402.0,39600.5,17403.34,0.1127,2022-12-25,2023-03-14
Matthew Phillips,5,158299.0,31659.8,14145.28,0.0981,2022-06-09,2023-02-01
Tina Martinez,4,158246.0,39561.5,16975.22,0.0999,2022-06-06,2023-03-04
Christopher Martin,5,158195.0,31639.0,13131.22,0.0854,2022-06-28,2023-03-29
Robert Thomas,4,157887.0,39471.75,16920.97,0.1108,2022-09-29,2023-04-10
Kenneth Williams,5,157565.0,31513.0,13479.42,0.0855,2022-06-19,2022-10-17
Jessica Ward,5,157553.0,31510.6,13274.2,0.0894,2022-05-16,2022-08-07
Michelle Campbell,6,156980.0,26163.33,18872.66,0.1184,2022-05-18,2023-03-30
Jonathan Johnson,6,156721.0,26120.17,13587.84,0.0799,2022-07-11,2023-03-17
Julie Jackson,4,156480.0,39120.0,19106.8,0.1213,2022-08-27,2023-04-23
Jennifer Mitchell,5,156176.0,31235.2,19565.46,0.122,2022-07-05,2023-02-26
Jessica Martin,5,155973.0,31194.6,13118.65,0.0892,2022-05-29,2023-04-01
Christopher Martinez,5,155697.0,31139.4,16570.76,0.1057,2022-05-28,2023-01-15
Sara Smith,6,155491.0,25915.17,18644.17,0.1215,2022-05-10,2023-02-17
Kevin Garcia,4,155197.0,38799.25,14752.2,0.0953,2022-08-27,2023-02-04
Laura Adams,5,154937.0,30987.4,14710.47,0.0938,2022-07-30,2023-03-19
Timothy Sanchez,4,154897.0,38724.25,16767.16,0.099,2022-08-19,2023-04-03
Donald Williams,4,154767.0,38691.75,13398.78,0.0834,2022-07-23,2022-12-02
Ryan Jones,5,154676.0,30935.2,14154.53,0.0854,2022-07-01,2023-01-30
Erica Johnson,4,154437.0,38609.25,12834.21,0.0876,2022-07-11,2023-02-07
Kevin Williams,6,154293.0,25715.5,15469.56,0.1002,2022-05-23,2023-02-21
